id,ScientificName,CommonName,AcceptedSymbol,Symbol,State,Category,FamilyCommonName,Duration,GrowthHabit,NativeStatus,ActiveGrowthPeriod,FlowerColor,FoliageColor,FoliagePorositySummer,FoliagePorosityWinter,FruitColor,GrowthRate,MaxHeight20Yrs,MatureHeight,Lifespan,ResproutAbility,AdaptedCoarseSoils,AdaptedMediumSoils,AdaptedFineSoils,AnaerobicTolerance,DroughtTolerance,MoistureUse,Precipitation_Minimum,Precipitation_Maximum,RootDepthMinimum,ShadeTolerance,TemperatureMinimum,BloomPeriod,PalatableBrowseAnimal,PalatableGrazeAnimal,PalatableHuman
127,"Bambusa vulgaris","common bamboo",BAVU2,BAVU2,"<strong>USA</strong> (FL, HI, SC), <strong>USA+</strong> (PR, VI)",Monocot,"Grass family",Perennial,"Tree, Shrub, Subshrub, Graminoid","L48 (I), HI (I), PR (I), VI (I)","Year Round",Brown,Green,,,,Rapid,0,50,Long,No,Yes,Yes,Yes,Medium,Medium,Medium,60,100,24,Intolerant,17,Indeterminate,Low,Low,No
878,"Solanum lycopersicum","garden tomato",SOLY2,SOLY2,"<strong>USA</strong> (AK, AL, AR, AZ, CT, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, ND, NE, NH, NV, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WI), <strong>USA+</strong> (PR, VI), <strong>CAN</strong> (BC, NB, NS, ON, QC, SK, CA)",Dicot,"Potato family","Annual, Perennial",Forb/herb,"L48 (I), AK (I), HI (I), PR (I), VI (I), CAN (W)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
1149,"Solanum lycopersicum var. lycopersicum","garden tomato",SOLYL,SOLYL,"<strong>USA</strong> (AK, AL, AR, AZ, CT, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, ND, NE, NH, NV, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WI), <strong>USA+</strong> (PR, VI), <strong>CAN</strong> (BC, NB, NS, ON, QC, SK, CA)",Dicot,"Potato family","Annual, Perennial",Forb/herb,"L48 (I), AK (I), HI (I), PR (I), VI (I), CAN (W)","Year Round",Yellow,Green,Dense,Dense,Red,Rapid,0,6,Short,No,No,Yes,Yes,Low,Low,High,60,80,24,Intermediate,32,Indeterminate,,,No
1150,"Solanum lycopersicum var. lycopersicum","garden tomato",SOLYL,SOLYL,"<strong>USA</strong> (AK, AL, AR, AZ, CT, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, ND, NE, NH, NV, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WI), <strong>USA+</strong> (PR, VI), <strong>CAN</strong> (BC, NB, NS, ON, QC, SK, CA)",Dicot,"Potato family","Annual, Perennial",Forb/herb,"L48 (I), AK (I), HI (I), PR (I), VI (I), CAN (W)","Year Round",Yellow,Green,Dense,Dense,Red,Rapid,0,6,Short,No,No,Yes,Yes,Low,Low,High,60,80,24,Intermediate,32,Indeterminate,,,No
4598,"Pycnanthemum clinopodioides","basil mountainmint",PYCL,PYCL,"<strong>USA</strong> (CT, DC, DE, MA, MD, NC, NJ, NY, PA, SC, TX, VA, WV)",Dicot,"Mint family",Perennial,Forb/herb,"L48 (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
8640,"Acinos arvensis","basil thyme",ACAR2,ACAR2,"<strong>USA</strong> (CT, ID, KY, MA, MD, ME, MI, MO, MT, NJ, NY, OH, PA, VA, VT, WA, WI, WV, WY), <strong>CAN</strong> (BC, ON, PE, QC)",Dicot,"Mint family","Annual, Perennial",Forb/herb,"L48 (I), CAN (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
9660,"Monarda clinopodioides","basil beebalm",MOCL2,MOCL2,"<strong>USA</strong> (KS, LA, OK, TX)",Dicot,"Mint family",Annual,Forb/herb,"L48 (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
14118,"Solanum lycopersicum var. cerasiforme","garden tomato",SOLYC,SOLYC,"<strong>USA</strong> (GA, HI, KS, KY, LA, TX), <strong>USA+</strong> (PR, VI)",Dicot,"Potato family","Annual, Perennial",Forb/herb,"L48 (I), HI (I), PR (I), VI (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
23897,Ocimum,basil,OCIMU,OCIMU,"<strong>USA</strong> (AZ, CT, FL, HI, IL, LA, MA, MO, NC, NY, PA, RI, SC, VA, WI), <strong>USA+</strong> (PR, VI)",Dicot,"Mint family",,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
23909,"Ocimum basilicum","sweet basil",OCBA,OCBA,"<strong>USA</strong> (AZ, CT, FL, HI, IL, LA, MA, MO, NC, NY, PA, RI, SC, VA, WI), <strong>USA+</strong> (PR)",Dicot,"Mint family","Annual, Perennial",Forb/herb,"L48 (I), HI (I), PR (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
